params_1,params_2,params_3,params_4,pval,qpMean,qpSD,randMean,randSD,Z,nOutcomes,fMRInoise,trialLength,TR
7,0.45,8,1600,0.141066643424586,0.972828690919936,0.0390694481776428,0.947065724245972,0.0680507876926476,1.47183054341009,7,0.45,8,1600
7,0.75,8,1600,0.135564972979563,0.84787161279106,0.20672976818357,0.821382083221164,0.16612547098749,1.49251200303646,7,0.75,8,1600
7,0.75,8,800,0.113619517078439,0.908374988722617,0.0793981819328881,0.859051584587716,0.144561198904915,1.58213166141741,7,0.75,8,800
15,0.75,8,800,0.109783528472268,0.847365340323245,0.225400981141872,0.845448493585717,0.154025401977081,1.5991668749313,15,0.75,8,800
7,0.15,12,1600,0.107461848981524,0.99717597547174,0.0030407176304882,0.98186021551153,0.0450664927903947,1.60970694091924,7,0.15,12,1600
15,0.75,8,1600,0.0672037199088885,0.84208906961303,0.174257946740889,0.796132152729286,0.182967066716622,1.83030917693386,15,0.75,8,1600
15,0.75,12,800,0.0548668890554327,0.904381150937887,0.145270834545323,0.869828649764767,0.139195018719627,1.91992883531481,15,0.75,12,800
7,0.75,12,800,0.0396088335577608,0.914290404836642,0.102629847456221,0.885055582261288,0.0894489148537142,2.05780523282395,7,0.75,12,800
7,0.45,8,800,0.0142557753155515,0.982860205772279,0.0257592709760009,0.960869654047441,0.0786865217871812,2.450752965725,7,0.45,8,800
15,0.75,12,1600,0.00588571922537256,0.904407769835548,0.15956063792981,0.83932269025654,0.178442800463149,2.75408104024512,15,0.75,12,1600
7,0.45,12,800,0.00320761156672906,0.976652074094599,0.0396132401307397,0.958690197918065,0.0504013980624544,2.94710799675792,7,0.45,12,800
7,0.75,12,1600,0.00203562833757912,0.891013284201119,0.195972472702962,0.835537251223211,0.184955403829057,3.08498439426706,7,0.75,12,1600
15,0.45,12,1600,0.00150041084762808,0.987358211608601,0.0095957963377523,0.951746487942459,0.0578349740026489,3.174604052648,15,0.45,12,1600
15,0.15,12,800,0.000635744476957915,0.997060766897147,0.00444597349893773,0.980101927200693,0.0627976594116934,3.415887748289,15,0.15,12,800
7,0.15,8,1600,8.88667410731853e-05,0.997856467925096,0.00205033796145121,0.984920873512752,0.0276562243624693,3.91913659919737,7,0.15,8,1600
7,0.45,12,1600,3.69205564965658e-05,0.98324105979476,0.0297253152784094,0.945999519206212,0.0622515029335144,4.12595119546108,7,0.45,12,1600
15,0.45,8,1600,2.6482067170113e-05,0.976992411669134,0.0462045617923091,0.928986286130573,0.0810616408334761,4.20178321409111,15,0.45,8,1600
15,0.15,8,800,9.76171063372311e-06,0.9975999108758,0.00231364949415745,0.983572815923812,0.0363132354298583,4.42238545010574,15,0.15,8,800
7,0.15,8,800,1.15275618457611e-06,0.995218511314219,0.0191570944492331,0.982102127498183,0.049835823261263,4.86358992213499,7,0.15,8,800
15,0.45,8,800,7.83545015471081e-07,0.987994662469652,0.0162762628048334,0.940866098131444,0.0699698609118618,4.93942194076502,15,0.45,8,800
7,0.15,12,800,2.96662424065288e-07,0.998582202626506,0.00123603184709186,0.981746790400196,0.0347934264691185,5.12555507740236,7,0.15,12,800
15,0.15,12,1600,2.65764278040102e-07,0.99805001189943,0.00203808185258656,0.985277606735684,0.0272737365581778,5.14623653702873,15,0.15,12,1600
15,0.45,12,800,8.01286227958788e-08,0.988582395934503,0.0145392287348296,0.944507168025212,0.0758884459012014,5.36683877304336,15,0.45,12,800
15,0.15,8,1600,1.33510479090026e-09,0.997792021880541,0.00227351072897432,0.982522017954327,0.0296584390975678,6.06311458046453,15,0.15,8,1600
